Jurisdiction ,Bill Number ,Bill Title ,Bill Status ,Bill Summary ,Category ,Year
Arizona,S 1360 ,Ballot Processing and Electronic Adjudication and Limit ,Failed,"Provides that machines or devices used at any election for federal, state or county offices may only be certified for use in this state and may only be used in this state if they comply with the Help America Vote Act of 2002 and if those machines or devices have been tested and approved by a laboratory that is accredited pursuant to the Help America Vote Act of 2002 machines, devices, firmware or software used in this state may not include any AI or learning hardware. ",Elections ,2024
Arizona,S 1599 ,Artificial Intelligence Use ,Failed,Relates to AI use; relates to aggravating circumstance. ,Criminal Use ,2024
Arkansas,S 656,Data Sharing and Decision–Making Task Force,Enacted,"Creates the Data Sharing and Data Driven Decision–Making Task Force. The task force shall recommend funding mechanisms to support the use of statewide data sharing, including without limitation data analytics, machine learning, and innovative technologies to link data between agencies, to support data driven decision making for all state agencies.",Government Use; Studies,2019
Arkansas,None,No AI Bill,No AI Bill,No AI Bill,No AI Bill,2020
Arkansas,None,No AI Bill,No AI Bill,No AI Bill,No AI Bill,2021
Arkansas,None,No AI Bill,No AI Bill,No AI Bill,No AI Bill,2022
Arkansas,H 1768 ,Railroad Train Defectors Standard Requirements ,Failed,Creates standard requirements concerning railroad train defect detectors. ,Private Sector Use ,2023
Arkansas,None ,No AI Bill,No AI Bill,No AI Bill,No AI Bill,2024
California ,A 485,Local Government: Economic Development Subsidies,Enacted,"Requires each local agency to provide specified information to the public before approving an economic development subsidy for a warehouse distribution center, and to, among other things, hold hearings and report on those subsidies. Such information includes any net job loss or replacement due to the use of automation, artificial intelligence, or other technologies, if known.",Private Sector Use,2019
California ,S 36,Pretrial Release: Risk Assessment Tools,Enacted,"Requires pretrial services agency that uses a pretrial risk assessment tool to validate the tool on a regular basis and to make specified information regarding the tool, including validation studies, publicly available. Requires the Judicial Council to maintain a list of pretrial services agencies that have satisfied those validation requirements and complied with those transparency requirements.",Government Use,2019
California ,SJR 6,Artificial Intelligence,Enacted,Urges the president and the Congress of the United States to develop a comprehensive Artificial Intelligence Advisory Committee and to adopt a comprehensive artificial intelligence policy.,Studies; Oversight/Governance,2019
California ,S 730,Commission on Tech Equity,Failed,"Establishes the Commission on Tech Equity. Requires the commission to develop recommendations on a policy framework to manage the development, deployment, regulation, taxation and fair distribution of the benefits of innovation and technology and submit its recommendations by a certain date.",Studies,2019
California ,A 1576,Secretary of Government Operations: Working Group,Pending ,"Requires the secretary of government operations to appoint participants to an artificial intelligence working group. Requires the composition of the working group to be representative of California's demographic and cultural diversity. Requires the working group to evaluate the uses, risks, benefits, and legal implications associated with the development and deployment of artificial intelligence by California–based businesses.",Studies,2019
California ,A 459,Artificial Intelligence in State Government Services,Pending ,"Requires the Artificial Intelligence in State Government Services Commission to report to the Legislature on the commission's recommended minimum standards for the use of artificial intelligence that includes specified information, including fostering accountability in state government services, and prioritizing the safety and security of artificial intelligence technologies used by state government.",Studies,2019
California ,A 976,Artificial Intelligence in State Government,Pending ,Establishes in state government the Artificial Intelligence in State Government Services Commission comprised of eight members and requires the advisory commission to annually convene a public process to gather input on how artificial intelligence and data science could be used to improve state services. Requires the commission to propose a plan for soliciting artificial intelligence and data science related demonstration projects for critical state services.,Government Use; Oversight/Governance; Studies,2019
California ,ACR 125,Bias and Discrimination in Hiring Reduction,Pending ,Urges policymakers in both federal and state government to explore ways to promote the development and use of new technologies to reduce bias and discrimination in hiring and help reduce discrimination in employment in the state.,Effect on Labor/Employment,2019
California ,S 348,Department of Technology: DMV: Artificial Intelligence,Pending ,"Requires the director of technology to devise a strategic plan designed to aid departments and agencies with the incorporation of artificial intelligence into state information technology strategic plans, policies, standards, and enterprise architecture to improve state services. Encourages the governor to appoint a special adviser on artificial intelligence to create a statewide strategic plan to utilize artificial technology to improve state services.",Government Use; Oversight/Governance,2019
California ,S 444,Artificial Intelligence: Reporting,Pending ,"Requires any business entity doing business in California with 50 or more full–time employees, a contractor that performs services for such a business, and a vendor that sells data or tangible goods to a such a business, to maintain a written record of the data used relating to any use of artificial intelligence.",Private Sector Use,2019
California ,S 752,State Master Plan on Tech Equity,Pending ,"Creates the Commission on Tech Equity to convene a public process to gather input and to understand the economic, social, workplace, and technological landscape of innovation and technology in the state. Creates the Joint Legislative Committee on the State Master Plan on Tech Equity to develop and implement the State Master Plan on Tech Equity.",Studies,2019
California ,A 594,Artificial Intelligence,Vetoed ,"Requires the director of technology to appoint a chief artificial intelligence officer within the department to evaluate the uses of artificial intelligence in state government and to advise the director of technology on incorporating artificial intelligence into state information technology strategic plans, policies, standards, and enterprise architecture.",Government Use; Oversight/Governance,2019
California ,A 1576,Secretary of Government Operations: Working Group,Failed,"Requires the secretary of government operations to appoint participants to an artificial intelligence working group. Requires the composition of the working group to be representative of California's demographic and cultural diversity. Requires the working group to evaluate the uses, risks, benefits, and legal implications associated with the development and deployment of artificial intelligence by California–based businesses.",Studies,2020
California ,A 2269,Personal Rights: Automated Decision Systems,Failed,Enacts the Automated Decision Systems Accountability Act of 2020. Requires a business in California that provides a person with a program or device that uses an automated decision system (ADS) to take affirmative steps to ensure processes are in place to continually test for biases during the development and usage of the ADS and conduct an ADS impact assessment on its program or device to determine whether the ADS has a disproportionate adverse impact on a protected class.,Impact Assessment; Private Sector Use; Responsible Use,2020
California ,A 459,Artificial Intelligence in State Government Services,Failed,"Requires the Artificial Intelligence in State Government Services Commission to report to the Legislature on the Commission's recommended minimum standards for the use of artificial intelligence that includes specified information, including fostering accountability in state government services, and prioritizing the safety and security of artificial intelligence technologies used by state government.",Studies,2020
California ,A 976,Artificial Intelligence in State Government,Failed,Establishes in state government the Artificial Intelligence in State Government Services Commission comprised of eight members and requires the advisory commission to annually convene a public process to gather input on how artificial intelligence and data science could be used to improve state services. Requires the commission to propose a plan for soliciting artificial intelligence and data science related demonstration projects for critical state services.,Government Use; Oversight/Governance; Studies,2020
California ,ACR 125,Bias and Discrimination in Hiring Reduction,Failed,Urges policymakers in both federal and state government to explore ways to promote the development and use of new technologies to reduce bias and discrimination in hiring and help reduce discrimination in employment in the state.,Effect on Labor/Employment,2020
California ,S 348,Department of Technology: DMV: Artificial Intelligence,Failed,"Requires the director of technology to devise a strategic plan designed to aid departments and agencies with the incorporation of artificial intelligence into state information technology strategic plans, policies, standards, and enterprise architecture to improve state services. Encourages the governor to appoint a special adviser on artificial intelligence to create a statewide strategic plan to utilize artificial technology to improve state services.",Government Use; Oversight/Governance,2020
California ,S 444,UC Pro Se Indigent Litigant Research Program,Failed,"Authorizes the University's Berkeley and Irvine law schools, in consultation with the superior courts of the Counties of Alameda and Orange, to participate in a research program to develop artificial intelligence or machine learning solutions to address issues of access to justice faced by pro se indigent litigants who are residents of those counties.",Government Use,2020
California ,S 752,State Master Plan on Tech Equity,Failed,"Creates the Commission on Tech Equity to convene a public process to gather input and to understand the economic, social, workplace, and technological landscape of innovation and technology in the state. Creates the Joint Legislative Committee on the State Master Plan on Tech Equity to develop and implement the State Master Plan on Tech Equity.",Studies,2020
California ,A 1228,Supervised Persons: Release,Enacted,Requires a court that elects to order the release of persons on probation pursuant to this provision to release persons on probation on their own recognizance pending a formal revocation hearing absent a finding by clear and convincing evidence that conditions of release are required by the individual circumstances of the case to reasonably protect the public and provide reasonable assurance of the person's future appearance in court. The court shall not require the use of any algorithm–based risk assessment tool in setting conditions of release.,Government Use,2021
California ,A 13,Public contracts: automated decision systems,Pending ,"This bill enacts the Automated Decision Systems Accountability Act and state the intent of the Legislature that state agencies use an acquisition method that minimizes the risk of adverse and discriminatory impacts resulting from the design and application of automated decision systems. The bill defines “automated decision system” to mean a computational process, derived from machine learning, statistical modeling, data analytics, or artificial intelligence, that issues simplified output, including a score, classification, or recommendation, that is used to substantially assist or replace human discretionary decision–making and materially impacts natural persons.",Government Use,2021
California ,A 1468,Prior Authorization,Pending ,Requires a health care service plan or health insurer that implements an automated prior authorization system to use evidence–based clinical guidelines to program the system and to make the algorithms used for the system available for download on the plan's or insurer's provider internet website.,Health Use,2021
California ,A 858,Employment: Health Information Technology,Pending ,Prohibits a general acute care hospital employer from retaliating or otherwise discriminating against a worker providing direct patient care who requests to override health information technology and clinical practice guidelines or discusses these issues with other employees or supervisors. Authorizes a worker who is subject to retaliation or discrimination by a general acute care hospital employer to file a complaint with the Labor Commissioner against the general acute care hospital employer.,Health Use,2021
California ,A 1468,Prior Authorization,Failed,Requires a health care service plan or health insurer that implements an automated prior authorization system to use evidence–based clinical guidelines to program the system and to make the algorithms used for the system available for download on the plan's or insurer's provider internet website.,Health Use,2022
California ,A 1651,Worker Rights: Workplace Technology Accountability Act,Failed,"Imposes various duties on employers and their vendors regarding the ability to collect and use worker data, as defined. Relates to confer the right to workers to know, review, correct, and secure data collected from them by their employer and would limit the ability of an employer to use that data beyond specified purposes.",Private Sector Use,2022
California ,A 2224,Real Estate: Transactions: iBuyers,Failed,"Requires an iBuyer, defined by the bill as an online real estate company that uses an automated valuation model to identify and then purchase a residential or commercial property without the use of a mortgage or other type of financing, to work with a local real estate broker, as defined, when selling real property in state. Exempts from this requirement the initial sale of real property containing new construction.",Private Sector Use,2022
California ,A 858,Employment: Health Information Technology,Vetoed ,Prohibits a general acute care hospital employer from retaliating or otherwise discriminating against a worker providing direct patient care who requests to override health information technology and clinical practice guidelines or discusses these issues with other employees or supervisors. Authorizes a worker who is subject to retaliation or discrimination by a general acute care hospital employer to file a complaint with the Labor Commissioner against the general acute care hospital employer.,Health Use,2022
California ,S 1018,Platform Accountability and Transparency Act,Vetoed ,"Requires a social media platform to disclose to the public, on or before specified date, and annually thereafter, statistics regarding the extent to which, in the third and fourth quarters of the preceding calendar year and first and second quarters of the current calendar year, items of content that the platform determined violated its policies were recommended or otherwise amplified by platform algorithms, disaggregated by category of policy violated.",Private Sector Use,2022
California ,A 302 ,Department of Technology: Automated Decision Systems ,Enacted,"Requires the Department of Technology, in coordination with other interagency bodies, to conduct, on or before specified date, a comprehensive inventory of all high–risk automated decision systems, as defined, that have been proposed for use, development, or procurement by, or are being used, developed, or procured by, state agencies. ",Government Use ,2023
California ,SCR 17 ,Artificial Intelligence ,Enacted,Affirms the state legislature's commitment to President Biden's vision for safe artificial intelligence and the principles outlined in the Blueprint for an AI Bill of Rights. Expresses the Legislature's commitment to examining and implementing those principles in its legislation and policies related to the use and deployment of automated systems. ,Responsible Use ,2023
California ,A 1282 ,Mental Health: Impacts of Social Media ,Pending ,"Requires the Mental Health Services Oversight and Accountability Commission to explore, among other things, the persons and populations that use social media and the negative mental health risks associated with social media and artificial intelligence. Requires the commission to report to specified policy committees of the Legislature a statewide strategy to understand, communicate, and mitigate mental health risks associated with the use of social media by children and youth. ",Responsible Use ,2023
California ,A 1502 ,Health Care Coverage: Discrimination ,Pending ,"Prohibits a health care service plan or health insurer from discriminating on the basis of race, color, national origin, sex, age, or disability through the use of clinical algorithms in its decision–making. ",Health Use; Private Sector Use ,2023
California ,A 331 ,Automated Decision Tools ,Pending ,"Relates to the State Fair Employment and Housing Act. Requires a deployer and a developer of an automated decision tool to perform an impact assessment for any such tool the deployer uses that includes a statement of the purpose of the tool and its intended benefits, uses, and deployment contexts. Requires a public attorney to, before commencing an action for injunctive relief, provide written notice to a deployer or developer of the alleged violations and provide a specified opportunity to cure violations. ",Impact Assessment; Notification; Private Sector Use; Responsible Use ,2023
California ,A 459 ,Contracts Against Public Policy: Personal ,Pending ,Provides that a provision in an agreement between an individual and any other person for the performance of personal or professional services is contrary to public policy and deemed unconscionable if the provision meets specified conditions relating to the use of a digital replica of the voice or likeness of an individual in lieu of the work of the individual or to train a generative artificial intelligence system. ,Private Sector Use ,2023
California ,ACR 96 ,23 Asilomar AI Principles ,Pending ,Expresses the support of the Legislature for the 23 Asilomar AI Principles as guiding values for the development of artificial intelligence and of related public policy. ,Government Use; Private Sector Use; Responsible Use ,2023
California ,AJR 6 ,Artificial Intelligence ,Pending ,Urges the U.S. government to impose an immediate moratorium on the training of AI systems more powerful than GPT–4 for at least six months to allow time to develop much–needed AI governance systems. ,Oversight/Governance,2023
California ,S 294 ,Artificial Intelligence: Regulation ,Pending ,"Expresses the intent of the Legislature to enact legislation related to artificial intelligence that would relate to, among other things, establishing standards and requirements for the safe development, secure deployment, and responsible scaling of frontier artificial intelligence models in the state market by, among other things, establishing a framework of disclosure requirements for AI models. ",Effect on Labor/Employment; Responsible Use ,2023
California ,S 313 ,Department of Technology: Artificial Intelligence ,Pending ,Requires any state agency that utilizes generative artificial intelligence to directly communicate with a natural person to provide notice to that person that the interaction with the state agency is being communicated through artificial intelligence. Requires the state agency to provide instructions to inform the natural person how they can directly communicate with a natural person from the state agency. ,Government Use; Oversight/Governance ,2023
California ,S 398 ,Department of Technology: Advanced Technology: Research ,Pending ,"Provides for the Artificial Intelligence for California Research Act, which would require the Department of Technology, upon appropriation by the Legislature, to develop and implement a comprehensive research plan to study the feasibility of using advanced technology to improve state and local government services. Requires the research plan to include, among other things, an analysis of the potential benefits and risks of using artificial intelligence technology in government services. ",Government Use ,2023
California ,S 721 ,California Interagency AI Working Group ,Pending ,"Creates the California Interagency AI Working Group to deliver a report to the Legislature regarding artificial intelligence. Requires the working group members to be Californians with expertise in at least two of certain areas, including computer science, artificial intelligence, and data privacy. Requires the report to include a recommendation of a definition of artificial intelligence as it pertains to its use in technology for use in legislation. ",Studies ,2023
California ,A 107 ,Budget Act of 2024 ,Enacted,"Makes appropriations for the support of state government for the specified fiscal year. Declares the bill as a budget bill. Provides funds to the Government Operations Agency to coordinate with legislative staff and other state agencies on ongoing efforts to implement Executive Order N–12–23, related to AI use in state government. ",Government Use ,2024
California ,A 1831 ,Crimes: Child Pornography ,Enacted,"Provides that existing law prohibits the production, development, duplication, distribution, or possession of matter, in certain formats, that depicts a person under 18 years old engaging in or simulating sexual conduct. Expands the scope of certain provisions to include matter that is digitally altered or generated using AI. Provides that this bill will become operative only if SB 1381 of the 2023–24 Regular Session is enacted and takes effect on or before the specified date. ",Child Pornography; Criminal Use ,2024
California ,A 2013 ,Artificial Intelligence: Training Data Transparency ,Enacted,"Requires, before each time that a generative AI system or service, or a substantial modification to a generative AI system or service, released on or after the specified date, is made available to Californians for use, regardless of whether the terms of that use include compensation, a developer of the system or service to post on the developer's website documentation regarding the data used to train the generative AI system or service. ",Private Sector Use; Provenance ,2024
California ,A 2355 ,Political Reform Act of 1974: Political Advertisements ,Enacted,"Requires a committee that creates, originally publishes, or originally distributes a qualified political advertisement to include in the advertisement a specified disclosure that the advertisement was generated or substantially altered using AI. Prescribes formatting requirements for this disclosure depending on the medium of the qualified political advertisement. ",Elections ,2024
California ,A 2602 ,Contracts Against Public Policy ,Enacted,"Provides that a provision in an agreement between an individual and another person for the performance of personal or professional services is unenforceable as it relates to a new performance by a digital replica of the individual if the provision meets specified conditions relating to the use of a digital replica of the voice or likeness of an individual in lieu of the work of the individual. Defines digital replica to mean a computer–generated, highly realistic electronic representation. ",Private Sector Use ,2024
California ,A 2885 ,Artificial Intelligence ,Enacted,"Provides that existing law requires each local agency to provide information to the public before approving an economic development subsidy, including information about any net job loss or replacement due to the use of automation, AI, or other technologies. Defines AI as an engineered or machine–based system that varies in its level of autonomy and that can infer from the input it receives how to generate outputs that can influence physical or virtual environments. ",Effect on Labor/Employment ,2024
California ,A 2905 ,Telecommunications: Automatic Dialing–Announcing Device ,Enacted,"Provides that existing law imposes various requirements on the use of an automatic dialing–announcing device, including that whenever telephone calls are placed using an automatic dialing–announcing device, the device may be operated only after an unrecorded, natural voice announcement has been made to the person called. Requires the announcement to inform the person if the prerecorded message uses an artificial voice. ",Private Sector Use ,2024
California ,A 3030 ,Health Care Services: Artificial Intelligence ,Enacted,"Requires a health facility, clinic, physician's office, or office of a group practice that uses generative AI to generate written or verbal patient communications pertaining to patient clinical information to ensure that those communications include both a specified disclaimer and instructions. Exempts from this requirement a communication read and reviewed by a human licensed or certified health care provider. ",Health Use; Notification ,2024
California ,S 108 ,Budget Act of 2024 ,Enacted,Makes appropriations for the support of state government for the specified fiscal year. Requires the Government Operations Agency to establish monthly generative AI meetings to implement Executive Order N–12–23. Requirements for departments participating in GenAI pilot projects. ,Government Use ,2024
California ,S 1120 ,Health Care Coverage: Utilization Review ,Enacted,"Requires a health care service plan or disability insurer that uses an AI, algorithm, or other software tool for the purpose of utilization review or utilization management functions, or that contracts with or otherwise works through an entity that uses that type of tool, to ensure compliance with specified requirements, including that the AI, algorithm, or other software tool bases its determination on specified information and is fairly and equitably applied. ",Health Use ,2024
California ,S 1288 ,Public Schools: Artificial Intelligence Working Group ,Enacted,"Requires the superintendent of public instruction to convene a working group for specific purposes related to AI in public schools. Requires, among other things, the working group to develop guidance for local educational agencies and charter schools on the safe use of AI in education. Requires the working group to report its findings and recommendations to the appropriate policy and fiscal committees of the Legislature. ",Education Use; Government Use; Studies ,2024
California ,S 896 ,Generative Artificial Intelligence Accountability Act ,Enacted,"Requires the Department of Technology, under the guidance of the Government Operations Agency, the Office of Data and Innovation, and the Department of Human Resources, to report to the governor. Requires the Office of Emergency Services to, as appropriate, perform a risk analysis of potential threats posed using generative AI to California's critical infrastructure, including those that could lead to mass casualty events and would require a high–level summary of the analysis. ",Cybersecurity; Government Use; Notification; Responsible Use ,2024
California ,S 942 ,California AI Transparency Act ,Enacted,"Provides for the California AI Transparency Act. Requires a covered provider to make available an AI detection tool at no cost to the user that meets certain criteria. Requires a covered provider to include a latent disclosure in an AI–generated image, video, audio content, or content that is any combination thereof, created by the provider's GenAI system that, to the extent that it is technically feasible and reasonable, conveys certain information regarding the content provenance. ",Provenance ,2024
California ,A 1502 ,Health Care Coverage: Discrimination ,Failed,"Prohibits a health care service plan or health insurer from discriminating based on race, color, national origin, sex, age or disability using clinical algorithms in its decision making. ",Health Use; Private Sector Use ,2024
California ,A 331 ,Automated Decision Tools ,Failed,"Relates to the State Fair Employment and Housing Act. Requires a deployer and a developer of an automated decision tool to perform an impact assessment for any such tool the deployer uses that includes a statement of the purpose of the tool and its intended benefits, uses and deployment contexts. Requires a public attorney to, before commencing an action for injunctive relief, provide written notice to a deployer or developer of the alleged violations and provide a specified opportunity to cure violations. ",Impact Assessment; Notification; Private Sector Use; Responsible Use ,2024
California ,S 313 ,Department of Technology: Artificial Intelligence ,Failed,Requires any state agency that utilizes generative AI to directly communicate with a natural person to provide notice to that person that the interaction with the state agency is being communicated through AI. Requires the state agency to provide instructions to inform the natural person how they can directly communicate with a natural person from the state agency. ,Government Use; Oversight/Governance ,2024
California ,S 398 ,Department of Technology: Advanced Technology: Research ,Failed,"Provides for the Artificial Intelligence for California Research Act, which would require the Department of Technology, upon appropriation by the Legislature, to develop and implement a comprehensive research plan to study the feasibility of using advanced technology to improve state and local government services. Requires the research plan to include, among other things, an analysis of the potential benefits and risks of using AI technology in government services. ",Government Use ,2024
California ,A 108 ,Budget Act of 2024 ,Pending ,"Amends the Budget Act of 2024 by amending, adding, and repealing items of appropriation and making other changes. Provides funds to the Government Operations Agency to coordinate with legislative staff and other state agencies on ongoing efforts to implement Executive Order N–12–23, related to AI use in state government.  ",Government Use ,2024
California ,A 1791 ,Digital Content Provenance ,Pending ,"Requires a social media platform to redact personal provenance data from content uploaded to the social media platform by a user and prohibits a social media platform from redacting system provenance data from content uploaded to the social media platform by a user. Makes a social media platform that violates those provisions liable in a civil action brought by a user of a social media platform for certain relief, including actual damages or statutory damages of a specified amount per violation. ",Provenance ,2024
California ,A 1873 ,Crimes: Sexual Exploitation of a Child ,Pending ,"Makes a person guilty of a misdemeanor or a felony if the person knowingly develops, duplicates, prints, or exchanges any representation of information, data, or image, generated using AI, that depicts a person under the age of 18 years engaged in an act of sexual conduct. ",Child Pornography; Criminal Use ,2024
California ,A 2512 ,Telecommunications: Automatic Dialing–Announcing Device ,Pending ,Provides that existing law authorizes the Public Utilities Commission to control and regulate the connection of an automatic dialing–announcing device to a telephone line. Provides that existing law imposes various requirements on the use of an automatic dialing–announcing device. Expands the definition of automatic dialing–announcing device to include calls made using an artificial voice. ,Private Sector Use ,2024
California ,A 2652 ,State Department of Education: Artificial Intelligence ,Pending ,"Requires the superintendent of public instruction, in consultation with the state Board of Education, to, on or before Jan. 1, 2025, convene a working group for the purpose of exploring how AI and other forms of similarly advanced technology are currently being used in education, identifying how they may be used in the future, and developing best practices to ensure that those technologies advance, rather than harm, educational quality. ",Education Use; Government Use; Studies ,2024
California ,A 2811 ,Attorneys: Court Filings: Artificial Intelligence ,Pending ,"Requires an attorney to execute and maintain, for a specified period, an affidavit certifying whether generative AI, was used in the drafting of each document that the attorney files, or intends to file, in a state or federal court within the state. Requires an attorney to, upon request or demand by a state or federal court within the state, file the affidavit with the court, provided that the retention period has not yet expired. ",Judicial Use ,2024
California ,A 2930 ,Automated Decision Tools ,Pending ,Requires a deployer and a developer of an automated decision system to perform an impact assessment on any such system before the system is first deployed and annually thereafter. Requires a deployer or a developer to provide any impact assessment that it performed to the Civil Rights Department. Exempts an assessment provided to the department from the California Public Records Act. Prohibits a deployer from using such system if an assessment identifies a reasonable risk of algorithmic discrimination. ,Government Use; Impact Assessment; Notification; Responsible Use; Private Sector Use ,2024
California ,A 3050 ,Artificial Intelligence ,Pending ,"Requires the Department of Technology to issue regulations to establish standards for watermarks to be included in covered AI–generated material. Requires the department's standard to, at a minimum, require an AI–generating entity to include digital content provenance in the watermarks. ",Provenance ,2024
California ,A 3058 ,California Unconditional Benefit Program ,Pending ,"Establishes, until a specified date, the California Unconditional Benefit Income Pilot Program, to be administered by the Employment Development Department for the purpose of aiding individuals who are unemployed because of automation or AI. Authorizes an eligible individual to apply to the department to receive a specified dollar amount each month for a period of 12 months upon certain determinations. ",Effect on Labor/Employment ,2024
California ,A 3095 ,Artificial Intelligence ,Pending ,Declares the intent of the Legislature to enact legislation relating to AI. ,Oversight/Governance ,2024
California ,A 3204 ,Data Digesters Registration Act ,Pending ,"Requires data digesters to register with the California Privacy Protection Agency, pay a registration fee, and provide specified information. Prescribes penalties for a failure to register as required by these provisions. Requires the agency to create a page on its internet website where this registration information is accessible to the public and creates the Data Digester Registry Fund. Defines various terms and incorporates specified definitions provided in the California Privacy Rights Act. ",Private Sector Use; Provenance ,2024
California ,ACR 96 ,23 Asilomar AI Principles ,Pending ,Expresses the support of the Legislature for the 23 Asilomar AI Principles as guiding values for the development of AI and of related public policy. ,Government Use; Private Sector Use; Responsible Use ,2024
California ,AJR 6 ,Artificial Intelligence ,Pending ,Urges the U.S. government to impose an immediate moratorium on the training of AI systems more powerful than GPT–4 for at least six months to allow time to develop much–needed AI governance systems. ,Responsible Use ,2024
California ,S 107 ,Budget Act of 2024 ,Pending ,Makes appropriations for the support of state government for the specified fiscal year. Requires the Government Operations Agency to establish monthly generative AI meetings to implement Executive Order N–12–23. Requirements for departments participating in GenAI pilot projects. ,Government Use ,2024
